Airline,Duration,Total stops,Price,Date,Source,Destination
Air India Express,4h 05m,direct,"₹ 15,677",2023-06-01,CCJ,DXB
IndiGo,13h 05m,1 stop,"₹ 12,124",2023-06-01,CCJ,DXB
Air India Express,4h 05m,direct,"₹ 15,677",2023-06-01,CCJ,DXB
IndiGo,3h 55m,direct,"₹ 18,034",2023-06-01,CCJ,DXB
SpiceJet,4h 15m,direct,"₹ 18,161",2023-06-01,CCJ,DXB
Hahn Air Systems,4h 15m,direct,"₹ 31,790",2023-06-01,CCJ,DXB
Oman Air,8h 15m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Oman Air,8h 40m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Oman Air,12h 25m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
IndiGo,10h 00m,1 stop,"₹ 16,174",2023-06-01,CCJ,DXB
Gulf Air,8h 05m,1 stop,"₹ 21,030",2023-06-01,CCJ,DXB
"Air India, SpiceJet",10h 35m,1 stop,"₹ 21,234",2023-06-01,CCJ,DXB
"Oman Air, flydubai",6h 55m,1 stop,"₹ 31,084",2023-06-01,CCJ,DXB
IndiGo,14h 55m,1 stop,"₹ 12,524",2023-06-01,CCJ,DXB
IndiGo,13h 30m,1 stop,"₹ 13,414",2023-06-01,CCJ,DXB
IndiGo,14h 05m,1 stop,"₹ 13,979",2023-06-01,CCJ,DXB
IndiGo,18h 45m,1 stop,"₹ 14,629",2023-06-01,CCJ,DXB
Oman Air,14h 00m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Oman Air,15h 20m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Oman Air,19h 45m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
"IndiGo, Air India",11h 05m,1 stop,"₹ 19,914",2023-06-01,CCJ,DXB
Gulf Air,12h 10m,1 stop,"₹ 21,030",2023-06-01,CCJ,DXB
Gulf Air,14h 10m,1 stop,"₹ 21,031",2023-06-01,CCJ,DXB
Gulf Air,16h 15m,1 stop,"₹ 21,039",2023-06-01,CCJ,DXB
"IndiGo, Emirates",11h 35m,1 stop,"₹ 21,511",2023-06-01,CCJ,DXB
IndiGo,13h 55m,1 stop,"₹ 23,479",2023-06-01,CCJ,DXB
IndiGo,27h 05m,1 stop,"₹ 13,414",2023-06-01,CCJ,DXB
IndiGo,21h 05m,1 stop,"₹ 13,979",2023-06-01,CCJ,DXB
IndiGo,26h 45m,1 stop,"₹ 15,364",2023-06-01,CCJ,DXB
Oman Air,21h 10m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Oman Air,25h 20m,1 stop,"₹ 15,688",2023-06-01,CCJ,DXB
Oman Air,26h 25m,1 stop,"₹ 15,688",2023-06-01,CCJ,DXB
Oman Air,26h 55m,1 stop,"₹ 15,688",2023-06-01,CCJ,DXB
Gulf Air,18h 35m,1 stop,"₹ 21,041",2023-06-01,CCJ,DXB
Gulf Air,24h 20m,1 stop,"₹ 21,047",2023-06-01,CCJ,DXB
Gulf Air,29h 30m,1 stop,"₹ 21,057",2023-06-01,CCJ,DXB
IndiGo,22h 55m,1 stop,"₹ 22,709",2023-06-01,CCJ,DXB
"Air India, Vistara",24h 55m,1 stop,"₹ 24,295",2023-06-01,CCJ,DXB
Air India,28h 35m,1 stop,"₹ 26,233",2023-06-01,CCJ,DXB
Air India,24h 35m,1 stop,"₹ 26,683",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 36,151",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 36,151",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 36,151",2023-06-01,CCJ,DXB
Air India,29h 05m,2 stops,"₹ 40,135",2023-06-01,CCJ,DXB
Air India,29h 05m,2 stops,"₹ 40,135",2023-06-01,CCJ,DXB
Qatar Airways,18h 45m,1 stop,"₹ 45,986",2023-06-01,CCJ,DXB
Qatar Airways,18h 45m,1 stop,"₹ 45,986",2023-06-01,CCJ,DXB
Qatar Airways,25h 05m,1 stop,"₹ 45,986",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 47,529",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 47,529",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 47,529",2023-06-01,CCJ,DXB
Air India,25h 40m,3 stops,"₹ 47,529",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 47,548",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 48,303",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 48,303",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 48,598",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 48,598",2023-06-01,CCJ,DXB
Air India,29h 25m,3 stops,"₹ 48,622",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 49,371",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,20h 25m,2 stops,"₹ 55,709",2023-06-01,CCJ,DXB
"Qatar Airways, Oman Air",13h 30m,2 stops,"₹ 57,211",2023-06-01,CCJ,DXB
"Qatar Airways, Oman Air",17h 40m,2 stops,"₹ 57,211",2023-06-01,CCJ,DXB
"Qatar Airways, Oman Air",19h 15m,2 stops,"₹ 62,158",2023-06-01,CCJ,DXB
"Qatar Airways, Oman Air",25h 00m,2 stops,"₹ 62,189",2023-06-01,CCJ,DXB
